,A Predicted,B Predicted,C Predicted,A Error,B Error,C Error,MSE,Train Time
75,0.72053049,0.003453521,0.002670394,1.401768301,-0.991366198,-0.994659212,0.042138719,0.09375
76,0.663800122,0.130862898,0.022790276,1.212667073,-0.672842754,-0.954419447,0.695875506,0
77,-0.68272865,0.173926878,0.144761893,-3.275762167,-0.565182805,-0.710476213,2.44557174,0.015625
78,0.914679854,0.003534899,0.002775879,2.048932847,-0.991162753,-0.994448242,0.03049123,0.046875
79,-0.069671659,-0.054312123,-0.001554459,-1.232238862,-1.135780307,-1.003108919,0.162501442,0.015625
80,-0.491373628,0.085171048,0.108047652,-2.637912093,-0.78707238,-0.783904696,1.07434821,0.078125
81,-0.316263532,-0.040494208,-0.007328041,-2.054211773,-1.101235519,-1.014656081,0.076950364,0
82,0.523521609,-0.025304781,0.063375152,0.745072031,-1.063261954,-0.873249696,0.081823693,0.015625
83,0.418376742,0.052504849,-0.018961883,0.39458914,-0.868737878,-1.037923765,0.092896715,0
84,1.001261663,0.027374626,-0.0250634,2.337538875,-0.931563435,-1.050126801,0.046478691,0.015625
85,-0.189761196,-0.035670536,0.015860222,-1.632537321,-1.089176339,-0.968279556,0.047339825,0
86,-0.37600478,0.131817417,0.244037528,-2.253349266,-0.670456456,-0.511924944,4.290989877,0.015625
87,-0.737391533,0.201622529,0.219079944,-3.457971776,-0.495943679,-0.561840111,3.470894402,0
88,-0.000593456,0.094295929,0.114155157,-1.001978186,-0.764260179,-0.771689687,2.766440828,0
89,-0.108981006,0.032472865,0.183992608,-1.363270021,-0.918817837,-0.632014784,1.337773938,0
90,1.016998442,0.029756619,0.032022981,2.389994806,-0.925608452,-0.935954039,0.948137996,0
91,0.466401733,-0.124014503,-0.026492484,0.554672444,-1.310036257,-1.052984967,0.536760462,0
92,-0.438019787,0.170184149,0.268643324,-2.460065956,-0.574539628,-0.462713352,2.880311647,0
93,-0.745495965,0.131037196,0.299900208,-3.48498655,-0.672407011,-0.400199583,5.14033649,0.015625
94,-0.087086777,0.079824939,0.17967728,-1.290289257,-0.800437652,-0.640645441,2.014626534,0.015625
95,0.850503096,0.034975472,-0.075561894,1.835010319,-0.91256132,-1.151123789,0.036547422,0.015625
96,-0.911801345,0.061291032,-0.000119778,-4.039337818,-0.846772419,-1.000239555,0.111908906,0.015625
97,-0.333712703,0.085140856,0.108008722,-2.112375675,-0.787147861,-0.783982556,1.057923131,0.125
98,1.014766755,-0.121942284,-0.00231387,2.382555851,-1.304855711,-1.00462774,0.39241569,0.015625
99,0.795136014,-0.124431252,-0.185275787,1.650453379,-1.311078131,-1.370551573,1.006919759,0
,,,,,,,,
Averages:,0.023703347,0.040161998,0.064142835,-0.920988844,-0.899595006,-0.87171433,0.862026462,0.01640625
